[PREFIX] [AR] [DR] [MR] [HP] [MP] [STR] [CON] [DEX] [INT] [WIS]
Sturdy|0|0|0|0|0|0|3|0|0|0|0.06|
Durable|0|0|0|0|0|0|5|0|0|0|0.05|
Hardy|0|0|0|0|0|0|9|0|0|0|0.04|
Tough|0|0|0|0|0|0|15|0|0|0|0.03|
Unyielding|0|0|0|0|0|0|20|0|0|0|0.02|
Hulking|0|0|0|0|0|0|30|0|0|0|0.01|
Observant|0|0|0|0|0|0|0|0|0|3|0.06|
Insightful|0|0|0|0|0|0|0|0|0|5|0.05|
Learned|0|0|0|0|0|0|0|0|0|9|0.04|
Knowing|0|0|0|0|0|0|0|0|0|15|0.03|
Wise|0|0|0|0|0|0|0|0|0|20|0.02|
Sagacious|0|0|0|0|0|0|0|0|0|30|0.01|
Bright|0|0|0|0|0|0|0|0|3|0|0.06|
Shrewd|0|0|0|0|0|0|0|0|5|0|0.05|
Sharp|0|0|0|0|0|0|0|0|9|0|0.04|
Clever|0|0|0|0|0|0|0|0|15|0|0.03|
Brainy|0|0|0|0|0|0|0|0|20|0|0.02|
Genius|0|0|0|0|0|0|0|0|30|0|0.01|
Jagged|3|0|0|0|0|0|0|0|0|0|0.06|
Untamed|5|0|0|0|0|0|0|0|0|0|0.05|
Relentless|9|0|0|0|0|0|0|0|0|0|0.04|
Vicious|15|0|0|0|0|0|0|0|0|0|0.03|
Ruthless|20|0|0|0|0|0|0|0|0|0|0.02|
Merciless|30|0|0|0|0|0|0|0|0|0|0.01|
Dexterous|0|0|0|0|0|0|0|3|0|0|0.06|
Skilled|0|0|0|0|0|0|0|5|0|0|0.05|
Accurate|0|0|0|0|0|0|0|9|0|0|0.04|
Precise|0|0|0|0|0|0|0|15|0|0|0.03|
Perfect|0|0|0|0|0|0|0|20|0|0|0.02|
Tranquil|0|0|0|0|0|0|0|30|0|0|0.01|
Strong|0|0|0|0|0|3|0|0|0|0|0.06|
Forceful|0|0|0|0|0|5|0|0|0|0|0.05|
Mighty|0|0|0|0|0|9|0|0|0|0|0.04|
Giant|0|0|0|0|0|15|0|0|0|0|0.03|
Titanic|0|0|0|0|0|20|0|0|0|0|0.02|
Omnipotent|0|0|0|0|0|30|0|0|0|0|0.01|
Energetic|0|0|0|0|3|0|0|0|0|0|0.06|
Energized|0|0|0|0|5|0|0|0|0|0|0.05|
the Sorcerer's|0|0|0|0|9|0|0|0|0|0|0.04|
the Wizard's|0|0|0|0|15|0|0|0|0|0|0.03|
the Arch-Mage's|0|0|0|0|20|0|0|0|0|0|0.02|
Enlightened|0|0|0|0|30|0|0|0|0|0|0.01|
Fit|0|0|0|3|0|0|0|0|0|0|0.06|
Hearty|0|0|0|5|0|0|0|0|0|0|0.05|
Husky|0|0|0|9|0|0|0|0|0|0|0.04|
Stout|0|0|0|15|0|0|0|0|0|0|0.03|
Robust|0|0|0|20|0|0|0|0|0|0|0.02|
Vigorous|0|0|0|30|0|0|0|0|0|0|0.01|
Warding|0|3|0|0|0|0|0|0|0|0|0.06|
Conservative|0|5|0|0|0|0|0|0|0|0|0.05|
Sheltering|0|9|0|0|0|0|0|0|0|0|0.04|
Arresting|0|15|0|0|0|0|0|0|0|0|0.03|
Vigilant|0|20|0|0|0|0|0|0|0|0|0.02|
Guardian|0|30|0|0|0|0|0|0|0|0|0.01|
Magical|0|0|3|0|0|0|0|0|0|0|0.06|
Spectral|0|0|5|0|0|0|0|0|0|0|0.05|
Conjuring|0|0|9|0|0|0|0|0|0|0|0.04|
Psychic|0|0|15|0|0|0|0|0|0|0|0.03|
Mystic|0|0|20|0|0|0|0|0|0|0|0.02|
Runed|0|0|30|0|0|0|0|0|0|0|0.01|
the Stranger's|0|0|0|0|0|0|0|50|0|0|0.007|
the Warrior's|50|0|0|0|0|0|0|0|0|0|0.007|
The Maiden's|0|50|0|0|0|0|0|0|0|0|0.007|
The Scholar's|0|0|50|0|0|0|0|0|0|0|0.007|
The Mother's|0|0|0|0|0|0|0|0|50|0|0.007|
The Smith's|0|0|0|0|0|0|50|0|0|0|0.007|
The Father's|0|0|0|0|0|50|0|0|0|0|0.007|
The Crone's|0|0|0|0|0|0|0|0|0|50|0.007|
The Day's|0|0|0|50|0|0|0|0|0|0|0.007|
The Night's|0|0|0|0|50|0|0|0|0|0|0.007|
