[Weapon] [AR] [DR] [MR] [HP] [MP] [STR] [CON] [DEX] [INT] [WIS]
Rusty Short Sword|1|0|0|0|0|0|0|0|0|0|0.05
Dagger|3|0|0|0|0|0|0|0|0|0|0.048
Short Sword|5|0|0|0|0|0|0|0|0|0|0.046
Gladius|7|0|0|0|0|0|0|0|0|0|0.044
Tanto|9|0|0|0|0|0|0|0|0|0|0.042
Baselard|11|0|0|0|0|0|0|0|0|0|0.04
Cutlass|13|0|0|0|0|0|0|0|0|0|0.038
Kris|15|0|0|0|0|0|0|0|0|0|0.036
Falchion|17|0|0|0|0|0|0|0|0|0|0.034
Cleaver|19|0|0|0|0|0|0|0|0|0|0.032
Rapier|21|0|0|0|0|0|0|0|0|0|0.03
Katana|23|0|0|0|0|0|0|0|0|0|0.028
Macuahuitl|25|0|0|0|0|0|0|0|0|0|0.026
Scimitar|23|0|0|0|0|0|0|-4|0|0|0.024
Sabre|25|0|0|0|0|0|0|-4|0|0|0.022
Longsword|30|0|0|0|0|0|0|-8|0|0|0.02
Claymore|35|0|0|0|0|0|0|-8|0|0|0.018
Zweihaender|40|0|0|0|0|0|0|-8|0|0|0.016
Excalibur|24|4|4|4|4|4|4|4|4|4|0.002
Joyeux|15|5|5|5|5|5|5|5|5|5|0.002
Vorpal Sword|60|0|0|0|0|0|0|0|0|0|0.002
Ragnarok|27|0|0|0|0|30|3|0|0|0|0.002
Charon's Claw|28|0|0|0|7|0|0|25|0|0|0.002
Masamune|30|0|0|0|30|0|0|0|0|0|0.002
Muramasa|30|0|0|30|0|0|0|0|0|0|0.002
Callandor|5|0|15|0|30|0|0|0|5|5|0.002
Toy Lightsaber|0|0|0|0|0|0|0|0|0|0|0.002
